index,item_set,confidence
0,(Apple)^(Cheese)^(Corn)^(Nutmeg)^(Sugar)||(Apple)^(Cheese)^(Corn)^(Nutmeg),0.7142857142857143
1,(Apple)^(Cheese)^(Corn)^(Sugar)^(Unicorn)||(Apple)^(Cheese)^(Sugar)^(Unicorn),0.7209302325581395
2,(Apple)^(Corn)^(Eggs)^(Onion)^(Sugar)||(Apple)^(Corn)^(Eggs)^(Onion),0.775
3,(Apple)^(Corn)^(Eggs)^(Sugar)^(Unicorn)||(Apple)^(Eggs)^(Sugar)^(Unicorn),0.7692307692307693
4,(Apple)^(Corn)^(Ice cream)^(Onion)^(Sugar)||(Apple)^(Corn)^(Ice cream)^(Onion),0.7142857142857143
5,(Apple)^(Corn)^(Nutmeg)^(Sugar)^(Unicorn)||(Apple)^(Nutmeg)^(Sugar)^(Unicorn),0.7948717948717948
6,(Apple)^(Corn)^(Nutmeg)^(Sugar)^(Unicorn)||(Corn)^(Nutmeg)^(Sugar)^(Unicorn),0.7380952380952381
7,(Apple)^(Corn)^(Sugar)^(Unicorn)^(Yogurt)||(Corn)^(Sugar)^(Unicorn)^(Yogurt),0.7045454545454546
8,(Bread)^(Butter)^(Corn)^(Kidney Beans)^(Milk)||(Bread)^(Butter)^(Corn)^(Milk),0.7441860465116279
9,(Bread)^(Corn)^(Kidney Beans)^(Milk)^(Nutmeg)||(Bread)^(Corn)^(Kidney Beans)^(Nutmeg),0.7021276595744681
10,(Bread)^(Corn)^(Kidney Beans)^(Milk)^(Nutmeg)||(Bread)^(Corn)^(Milk)^(Nutmeg),0.7857142857142857
11,(Bread)^(Corn)^(Kidney Beans)^(Milk)^(Sugar)||(Bread)^(Corn)^(Milk)^(Sugar),0.7142857142857143
12,(Bread)^(Kidney Beans)^(Sugar)^(Yogurt)^(chocolate)||(Bread)^(Kidney Beans)^(Sugar)^(chocolate),0.7380952380952381
13,(Butter)^(Cheese)^(Ice cream)^(Kidney Beans)^(Yogurt)||(Butter)^(Cheese)^(Ice cream)^(Yogurt),0.7209302325581395
14,(Butter)^(Corn)^(Kidney Beans)^(Milk)^(Nutmeg)||(Butter)^(Corn)^(Milk)^(Nutmeg),0.7441860465116279
15,(Cheese)^(Corn)^(Dill)^(Kidney Beans)^(Onion)||(Corn)^(Dill)^(Kidney Beans)^(Onion),0.7333333333333333
16,(Cheese)^(Corn)^(Dill)^(Nutmeg)^(Onion)||(Cheese)^(Corn)^(Dill)^(Nutmeg),0.7142857142857143
17,(Cheese)^(Dill)^(Eggs)^(Kidney Beans)^(Unicorn)||(Dill)^(Eggs)^(Kidney Beans)^(Unicorn),0.7317073170731707
18,(Cheese)^(Dill)^(Kidney Beans)^(Nutmeg)^(Onion)||(Dill)^(Kidney Beans)^(Nutmeg)^(Onion),0.717391304347826
19,(Cheese)^(Dill)^(Kidney Beans)^(Onion)^(chocolate)||(Cheese)^(Kidney Beans)^(Onion)^(chocolate),0.7021276595744681
20,(Cheese)^(Dill)^(Kidney Beans)^(Onion)^(chocolate)||(Dill)^(Kidney Beans)^(Onion)^(chocolate),0.717391304347826
21,(Cheese)^(Kidney Beans)^(Sugar)^(Unicorn)^(chocolate)||(Cheese)^(Sugar)^(Unicorn)^(chocolate),0.7380952380952381
22,(Corn)^(Nutmeg)^(Onion)^(Unicorn)^(chocolate)||(Corn)^(Nutmeg)^(Onion)^(Unicorn),0.7209302325581395
23,(Dill)^(Ice cream)^(Milk)^(Unicorn)^(chocolate)||(Dill)^(Ice cream)^(Milk)^(Unicorn),0.7021276595744681
24,(Dill)^(Milk)^(Onion)^(Unicorn)^(chocolate)||(Dill)^(Milk)^(Onion)^(Unicorn),0.7
